machine,crashes
lab1a, 0
lab1b, 2
lab1c, 0
lab1d, 2
lab1e, 0
lab1f, 1
lab1g, 0
lab1h, 0
lab2a, 0
lab2b, 3
lab2c, 2
lab2d, 0
lab2e, 0
lab2f, 2
lab2g, 0
lab2h, 0
lab3a, 4
lab3b, 5
lab3c, 2
lab3d, 3
lab3e, 0
lab3f, 0
lab3g, 0
lab3h, 0
lab4a, 0
lab4b, 4
lab4c, 0
lab4d, 2
lab4e, 1
lab4f, 3
lab4g, 0
lab4h, 0
