machine,logins
lab1a, 30
lab1b, 14
lab1c, 14
lab1d, 14
lab1e, 8
lab1f, 13
lab1g, 6
lab1h, 6
lab2a, 13
lab2b, 26
lab2c, 27
lab2d, 22
lab2e, 17
lab2f, 22
lab2g, 6
lab2h, 10
lab3a, 19
lab3b, 30
lab3c, 46
lab3d, 0
lab3e, 2
lab3f, 1
lab3g, 6
lab3h, 0
lab4a, 38
lab4b, 29
lab4c, 5
lab4d, 32
lab4e, 15
lab4f, 21
lab4g, 15
lab4h, 23
